,heat,T,objective
0,0.0,21.159063,2219.716351669
1,0.0,21.104142,
2,0.0,21.04925,
3,0.0,20.994372,
4,0.0,20.939627,
5,0.0,20.884885,
6,0.0,20.83014,
7,0.0,20.775367,
8,0.0,20.720605,
9,0.0,20.666019,
10,0.0,20.611575,
11,0.0,20.557289,
12,0.0,20.503045,
13,0.0,20.448828,
14,0.0,20.394739,
15,0.0,20.340712,
16,0.0,20.286727,
17,0.0,20.232815,
18,0.0,20.17908,
19,0.0,20.125435,
20,0.0,20.071863,
21,4.2013868,20.018372,
22,6.4097447,20.0,
23,6.4140981,20.0,
24,6.4135594,20.0,
25,6.4150127,20.0,
26,6.4221659,20.0,
27,6.4286364,20.0,
28,6.4237318,20.0,
29,6.4237443,20.0,
30,6.4248217,20.0,
31,6.4289997,20.0,
32,6.4365478,20.0,
33,6.4333595,20.0,
34,6.4308163,20.0,
35,6.4297264,20.0,
36,6.4261998,20.0,
37,6.4173741,20.0,
38,6.4230053,20.0,
39,6.4340861,20.0,
40,6.4397048,20.0,
41,6.4402623,20.0,
42,6.4527962,20.0,
43,6.4702224,20.0,
44,6.4749578,20.0,
45,6.46969,20.0,
46,6.4535228,20.0,
47,6.421289,20.0,
48,6.3815886,20.0,
49,6.3597277,20.0,
50,6.3410803,20.0,
51,6.3309087,20.0,
52,6.323072,20.0,
53,6.3018428,20.0,
54,6.2755037,20.0,
55,6.2509867,20.0,
56,6.2277287,20.0,
57,6.2095646,20.0,
58,6.1946687,20.0,
59,6.185742,20.0,
60,6.1835871,20.0,
61,6.1739592,20.0,
62,6.1783188,20.0,
63,6.1886737,20.0,
64,6.2038083,20.0,
65,6.2162846,20.0,
66,6.2250037,20.0,
67,6.2293637,20.0,
68,6.227309,20.0,
69,6.2219154,20.0,
70,6.2130154,20.0,
71,6.2086568,20.0,
72,6.2038084,20.0,
73,6.2010271,20.0,
74,6.2021171,20.0,
75,6.2064771,20.0,
76,6.211744,20.0,
77,6.2283614,20.0,
78,6.2480747,20.0,
79,6.2596988,20.0,
80,6.2646037,20.0,
81,6.2584272,20.0,
82,6.2601059,20.0,
83,6.2626054,20.0,
84,6.2589722,20.0,
85,6.2555215,20.0,
86,6.2451687,20.0,
87,6.2368121,20.0,
88,6.2270021,20.0,
89,6.2138048,20.0,
90,6.1957587,20.0,
91,6.1810437,20.0,
92,6.164521,20.0,
93,6.1528282,20.0,
94,6.1358121,20.0,
95,6.1171033,20.0,
96,6.1036604,20.0,
97,6.0906811,20.0,
98,6.0784121,20.0,
99,6.0756871,20.0,
100,6.0647871,20.0,
101,6.0546137,20.0,
102,6.0508686,20.0,
103,6.0284571,20.0,
104,6.0331804,20.0,
105,6.0292965,20.0,
106,6.0250054,20.0,
107,6.0135604,20.0,
108,6.0070205,20.0,
109,6.0248237,20.0,
110,5.9984279,20.0,
111,5.9906737,20.0,
112,5.9895831,20.0,
113,5.9957967,20.0,
114,5.9892204,20.0,
115,5.9917637,20.0,
116,5.9882557,20.0,
117,5.9835887,20.0,
118,5.9648777,20.0,
119,5.9794104,20.0,
120,5.9386202,20.0,
121,5.9287294,20.0,
122,5.9349054,20.0,
123,5.9354504,20.0,
124,5.9409004,20.0,
125,5.9428987,20.0,
126,5.9561587,20.0,
127,5.9285475,20.0,
128,5.9434429,20.0,
